PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
CJ McCollum,"Sat
3/16",IND,vs,BKN,"W
121-100",31,14,7,4,2,1,6,18,33.3,1,9,11.1,1,1,100.0,38.0,0,7,2,0,=+19
CJ McCollum,"Wed
3/13",IND,vs,CHI,"L
129-132",38,17,3,14,0,1,6,13,46.2,1,6,16.7,4,4,100.0,57.6,0,3,2,3,-22
CJ McCollum,"Tue
3/12",IND,@,OKC,"W
121-111",36,18,4,12,2,2,8,15,53.3,2,6,33.3,0,0,,60.0,0,4,4,0,=+7
CJ McCollum,"Sun
3/10",IND,@,ORL,"W
111-97",36,20,7,8,0,0,6,15,40.0,1,6,16.7,7,7,100.0,55.3,0,7,4,2,=+14
CJ McCollum,"Thu
3/7",IND,vs,MIN,"L
111-113",37,23,3,13,1,0,9,15,60.0,2,7,28.6,3,4,75.0,68.6,0,3,5,1,-1
CJ McCollum,"Tue
3/5",IND,@,DAL,"W
137-120",32,19,6,11,0,1,8,15,53.3,3,10,30.0,0,0,,63.3,1,5,2,2,=+18
CJ McCollum,"Sun
3/3",IND,@,SAS,"L
105-117",36,12,6,8,0,1,4,16,25.0,0,6,0.0,4,4,100.0,33.8,3,3,1,0,-14
CJ McCollum,"Fri
3/1",IND,@,NOP,"L
102-129",23,0,3,3,0,0,0,7,0.0,0,6,0.0,0,0,,0.0,0,3,1,0,-40
CJ McCollum,"Sun
4/14",IND,vs,ATL,"W
157-115",25,12,2,13,3,1,5,10,50.0,0,4,0.0,2,3,66.7,53.0,0,2,2,3,=+27
CJ McCollum,"Fri
4/12",IND,@,CLE,"L
120-129",35,19,6,12,1,0,7,13,53.8,4,10,40.0,1,1,100.0,70.7,0,6,5,1,-11
CJ McCollum,"Tue
4/9",IND,@,TOR,"W
140-123",31,30,5,5,2,1,10,16,62.5,3,8,37.5,7,10,70.0,73.5,0,5,2,1,=+15
CJ McCollum,"Sun
4/7",IND,vs,MIA,"W
117-115",33,12,4,8,0,2,3,10,30.0,2,7,28.6,4,4,100.0,51.0,0,4,3,2,=+3
CJ McCollum,"Fri
4/5",IND,vs,OKC,"W
126-112",36,8,2,11,1,0,3,8,37.5,2,6,33.3,0,0,,50.0,0,2,2,1,0
CJ McCollum,"Wed
4/3",IND,@,BKN,"L
111-115",37,24,3,8,2,2,9,22,40.9,5,14,35.7,1,1,100.0,53.5,1,2,0,0,=+3
CJ McCollum,"Mon
4/1",IND,vs,BKN,"W
133-111",27,27,4,13,1,1,9,15,60.0,4,7,57.1,5,5,100.0,78.5,0,4,0,1,=+26
