PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Jabari Walker,"Fri
3/22",POR,vs,LAC,"L
117-125",28,14,8,3,1,0,6,9,66.7,0,1,0.0,2,5,40.0,62.5,1,7,0,3,=+9
Jabari Walker,"Wed
3/20",POR,vs,LAC,"L
103-116",23,12,3,0,2,0,4,6,66.7,2,2,100.0,2,2,100.0,87.2,2,1,3,5,-15
Jabari Walker,"Mon
3/18",POR,@,CHI,"L
107-110",33,3,10,4,1,0,1,5,20.0,0,2,0.0,1,2,50.0,25.5,3,7,0,3,=+5
Jabari Walker,"Sat
3/16",POR,@,NOP,"L
107-126",17,10,5,0,0,0,3,6,50.0,2,3,66.7,2,2,100.0,72.7,0,5,1,2,-12
Jabari Walker,"Wed
3/6",POR,vs,OKC,"L
120-128",19,9,6,2,1,0,4,7,57.1,0,0,,1,1,100.0,60.5,2,4,0,6,-8
Jabari Walker,"Mon
3/4",POR,@,MIN,"L
114-119",28,4,8,1,0,0,2,9,22.2,0,3,0.0,0,0,,22.2,1,7,0,5,=+3
Jabari Walker,"Sat
3/2",POR,@,MEM,"W
107-100",31,18,12,2,1,0,8,16,50.0,0,1,0.0,2,2,100.0,53.3,5,7,2,3,=+21
Jabari Walker,"Fri
3/1",POR,@,MEM,"W
122-92",22,19,10,2,2,1,7,9,77.8,1,1,100.0,4,4,100.0,88.3,3,7,2,3,=+14
Jabari Walker,"Tue
2/27",POR,vs,MIA,"L
96-106",19,7,2,2,0,0,2,4,50.0,0,0,,3,4,75.0,60.8,0,2,0,0,-18
Jabari Walker,"Sun
2/25",POR,vs,CHA,"L
80-93",18,6,5,0,0,0,3,8,37.5,0,3,0.0,0,0,,37.5,4,1,1,1,-7
Jabari Walker,"Fri
2/23",POR,vs,DEN,"L
112-127",14,2,6,0,0,0,1,5,20.0,0,0,,0,0,,20.0,4,2,1,0,-4
Jabari Walker,"Thu
2/15",POR,vs,MIN,"L
91-128",24,8,4,1,1,0,3,6,50.0,0,1,0.0,2,2,100.0,58.1,1,3,0,1,-24
