PLAYER NAME,DATE,MIN,PTS,REB,TOV
Devin Booker,12/15/2023,37,28,2,3.0
Devin Booker,12/13/2023,40,34,6,2.0
Devin Booker,12/12/2023,36,32,4,2.0
Devin Booker,12/8/2023,38,28,7,3.0
Devin Booker,12/5/2023,37,21,11,7.0
Devin Booker,12/2/2023,37,34,10,2.0
Devin Booker,11/29/2023,33,8,5,2.0
Devin Booker,11/26/2023,38,28,5,2.0
Devin Booker,11/24/2023,33,40,5,5.0
Devin Booker,11/22/2023,31,25,8,3.0
Devin Booker,11/21/2023,33,28,3,1.0
Devin Booker,11/19/2023,40,26,5,3.0
Devin Booker,11/17/2023,32,24,4,1.0
Devin Booker,11/15/2023,26,31,4,2.0
Devin Booker,11/2/2023,35,31,9,5.0
Devin Booker,10/24/2023,37,32,6,6.0
Jayson Tatum,4/11/2024,32,18,4,2.0
Jayson Tatum,4/9/2024,37,22,5,2.0
Jayson Tatum,4/5/2024,33,17,6,3.0
Jayson Tatum,4/3/2024,29,24,7,0.0
Jayson Tatum,4/1/2024,34,25,10,4.0
Jayson Tatum,3/30/2024,36,23,9,4.0
Jayson Tatum,3/28/2024,45,31,13,2.0
Jayson Tatum,3/25/2024,39,37,8,2.0
Jayson Tatum,3/23/2024,37,26,2,5.0
Jayson Tatum,3/20/2024,39,31,8,2.0
Jayson Tatum,3/17/2024,27,30,6,2.0
Jayson Tatum,3/14/2024,33,26,5,3.0
Jayson Tatum,3/12/2024,34,38,6,3.0
Jayson Tatum,3/11/2024,36,26,5,1.0
Jayson Tatum,3/9/2024,42,29,10,4.0
Jayson Tatum,3/7/2024,39,15,4,5.0
Jayson Tatum,3/5/2024,38,26,13,2.0
Jayson Tatum,3/3/2024,25,27,3,0.0
Jayson Tatum,3/1/2024,37,32,8,4.0
Jayson Tatum,2/27/2024,35,29,11,1.0
Jayson Tatum,2/24/2024,43,19,6,4.0
Jayson Tatum,2/22/2024,35,25,7,3.0
Jayson Tatum,2/14/2024,28,20,7,1.0
Jayson Tatum,2/13/2024,39,41,14,2.0
Jayson Tatum,2/11/2024,39,26,10,1.0
Jayson Tatum,2/9/2024,38,35,10,2.0
Jayson Tatum,2/7/2024,36,20,9,3.0
