PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Shai Gilgeous-Alexander,"Tue
4/9",OKC,vs,SAC,"W
112-105",38,40,7,4,2,2,11,21,52.4,2,3,66.7,16,20,80,67.1,1,6,5,2,6
Shai Gilgeous-Alexander,"Sun
3/31",OKC,@,NYK,"W
113-112",35,19,2,3,1,0,7,16,43.8,1,4,25,4,4,100,53.5,1,1,2,4,-15
Shai Gilgeous-Alexander,"Tue
3/26",OKC,@,NOP,"W
119-112",38,24,5,8,2,0,9,20,45,1,3,33.3,5,6,83.3,53,2,3,0,1,14
Shai Gilgeous-Alexander,"Sun
3/24",OKC,@,MIL,"L
93-118",30,12,3,2,3,1,5,12,41.7,0,3,0,2,3,66.7,45,0,3,4,0,-17
Shai Gilgeous-Alexander,"Fri
3/22",OKC,@,TOR,"W
123-103",33,23,7,8,3,1,9,20,45,1,5,20,4,6,66.7,50.8,1,6,6,4,7
Shai Gilgeous-Alexander,"Wed
3/20",OKC,vs,UTA,"W
119-107",33,31,3,7,4,0,12,22,54.5,2,4,50,5,6,83.3,62.9,1,2,1,3,5
Shai Gilgeous-Alexander,"Sat
3/16",OKC,@,MEM,"W
118-112",35,20,7,3,0,1,8,16,50,1,4,25,3,6,50,53.6,1,6,3,2,7
Shai Gilgeous-Alexander,"Thu
3/14",OKC,vs,DAL,"W
126-119",37,31,9,5,2,0,9,16,56.3,1,4,25,12,15,80,68.6,1,8,1,2,16
Shai Gilgeous-Alexander,"Tue
3/12",OKC,vs,IND,"L
111-121",37,30,10,5,2,1,12,27,44.4,1,7,14.3,5,6,83.3,50.6,2,8,4,4,-9
Shai Gilgeous-Alexander,"Sun
3/10",OKC,vs,MEM,"W
124-93",27,23,2,6,0,0,8,14,57.1,5,7,71.4,2,2,100,77.3,0,2,1,2,29
