PLAYER NAME,DATE,TM,GAME,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Rudy Gobert,"Fri
3/1",MIN,vs,SAC,"L
120-124",42,16,16,1,0,3,6,9,66.7,0,0,,4,8,50.0,63.9,2,14,1,5,-6
Rudy Gobert,"Sun
4/14",MIN,vs,PHX,"L
106-125",32,21,7,1,2,1,7,9,77.8,0,0,,7,9,77.8,81.0,3,4,1,3,-17
Rudy Gobert,"Fri
4/12",MIN,vs,ATL,"W
109-106",37,25,19,0,1,5,10,10,100.0,0,0,,5,8,62.5,92.5,4,15,1,2,=+13
Rudy Gobert,"Wed
4/10",MIN,@,DEN,"L
107-116",39,13,15,3,2,1,6,7,85.7,0,0,,1,3,33.3,78.1,5,10,2,5,-17
Rudy Gobert,"Tue
4/9",MIN,vs,WAS,"W
130-121",38,19,16,3,2,4,5,9,55.6,0,0,,9,13,69.2,64.5,5,11,1,3,=+12
Rudy Gobert,"Sun
4/7",MIN,@,LAL,"W
127-117",37,18,16,3,2,1,9,13,69.2,0,0,,0,0,,69.2,8,8,3,2,=+8
Rudy Gobert,"Fri
4/5",MIN,@,PHX,"L
87-97",29,4,6,1,0,2,2,5,40.0,0,0,,0,0,,40.0,2,4,1,4,-26
Rudy Gobert,"Wed
4/3",MIN,vs,TOR,"W
133-85",27,11,15,3,1,2,3,6,50.0,0,0,,5,8,62.5,57.8,5,10,4,3,=+33
Rudy Gobert,"Tue
4/2",MIN,vs,HOU,"W
113-106",35,12,14,0,0,2,4,7,57.1,0,0,,4,6,66.7,62.2,1,13,1,3,-8
,,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Capela,"Mon
10/30",ATL,vs,MIN,"W
127-113",23,2,5,1,0,5,0,3,0.0,0,0,,2,2,100.0,25.8,1,4,1,3,-4
Clint Capela,"Sun
10/29",ATL,@,MIL,"W
127-110",23,12,12,1,1,0,5,10,50.0,0,0,,2,2,100.0,55.1,2,10,0,1,=+15
Clint Capela,"Fri
10/27",ATL,vs,NYK,"L
120-126",28,13,13,2,0,1,6,12,50.0,0,0,,1,2,50.0,50.5,6,7,1,3,-9
